model,variant,fraction,seed,perturbation,severity,auc,accuracy
capsnet,,1.0,0,rotation,0.0,0.9749482500000001,0.920875
capsnet,,1.0,0,rotation,15.0,0.9585151249999999,0.898125
capsnet,,1.0,0,rotation,30.0,0.9578297499999999,0.896
capsnet,,1.0,0,rotation,45.0,0.9567700625000001,0.893375
capsnet,,1.0,0,zoom,1.0,0.9749482500000001,0.920875
capsnet,,1.0,0,zoom,1.15,0.94430425,0.876125
capsnet,,1.0,0,zoom,1.3,0.9113704375000001,0.81875
capsnet,,1.0,0,zoom,1.5,0.83862540625,0.73975
capsnet,,1.0,0,blur,0.0,0.9749482500000001,0.920875
capsnet,,1.0,0,blur,0.75,0.9249155,0.858875
capsnet,,1.0,0,blur,1.5,0.8650152499999999,0.767
capsnet,,1.0,0,blur,2.5,0.8264036562499999,0.710375
capsnet,,1.0,0,stain,0.0,0.9749482500000001,0.920875
capsnet,,1.0,0,stain,0.05,0.9362027187499999,0.86925
capsnet,,1.0,0,stain,0.1,0.8879697499999999,0.8135
capsnet,,1.0,0,stain,0.2,0.7985430937499999,0.722625
capsnet,,1.0,1,rotation,0.0,0.976105125,0.924125
capsnet,,1.0,1,rotation,15.0,0.960724125,0.90225
capsnet,,1.0,1,rotation,30.0,0.959886125,0.89925
capsnet,,1.0,1,rotation,45.0,0.95878259375,0.896375
capsnet,,1.0,1,zoom,1.0,0.976105125,0.924125
capsnet,,1.0,1,zoom,1.15,0.9466910624999999,0.876625
capsnet,,1.0,1,zoom,1.3,0.9114777500000001,0.80825
capsnet,,1.0,1,zoom,1.5,0.8342390000000001,0.727875
capsnet,,1.0,1,blur,0.0,0.976105125,0.924125
capsnet,,1.0,1,blur,0.75,0.9303580624999999,0.845375
capsnet,,1.0,1,blur,1.5,0.8709568125,0.80125
capsnet,,1.0,1,blur,2.5,0.77549453125,0.7175
capsnet,,1.0,1,stain,0.0,0.976105125,0.924125
capsnet,,1.0,1,stain,0.05,0.9433235625,0.87625
