variant,model,fraction,seed,n_train,params,params_with_decoder,best_step,val_auc,test_auc,test_accuracy,test_sensitivity,test_specificity,test_f1,train_time_s,train_steps_per_s,inference_img_per_s,peak_gpu_mem_mb,name
,capsnet,0.01,0,1440,3388736,3713715,200,0.8744680937500001,0.8729251250000001,0.746625,0.5545,0.93875,0.6863685594924959,84.1798298000358,95.03464213462448,69813.22634912912,926.6865234375,capsnet
,capsnet,0.01,1,1440,3388736,3713715,350,0.883652125,0.8801700625,0.793125,0.68975,0.8965,0.7692736651331382,83.05669009998383,96.31975449984321,69682.20270086601,926.6865234375,capsnet
,capsnet,0.01,2,1440,3388736,3713715,4200,0.8761188124999999,0.8762500312500001,0.797375,0.78975,0.805,0.7958181131124827,80.54457329999423,99.32388579679238,74194.2733772561,926.6865234375,capsnet
,capsnet,0.1,0,14400,3388736,3713715,6800,0.937154625,0.9338935,0.866,0.85925,0.87275,0.8650893531336521,85.05866780001088,94.05273097868782,70266.49740135201,1268.53515625,capsnet
,capsnet,0.1,1,14400,3388736,3713715,5600,0.9381628125,0.9411438124999999,0.875875,0.874,0.87775,0.8756418284283031,83.5318103999889,95.77189769612683,74770.12858502317,1268.53515625,capsnet
,capsnet,0.1,2,14400,3388736,3713715,7000,0.9424275,0.9404694375,0.8755,0.85125,0.89975,0.8724058416602614,79.17207600004622,101.04572728388895,69259.8716961908,1268.53515625,capsnet
,capsnet,0.2,0,28800,3388736,3713715,8000,0.9657720000000001,0.9675324375000001,0.91325,0.90475,0.92175,0.9125063035804338,65.14697520005575,122.79925469192243,79324.44657118212,1648.64501953125,capsnet
,capsnet,0.2,1,28800,3388736,3713715,7600,0.9652354999999999,0.9655966875,0.9085,0.894,0.923,0.9071537290715372,65.20384459996421,122.6921518060975,79322.79485789001,1649.14501953125,capsnet
,capsnet,0.2,2,28800,3388736,3713715,8000,0.965554625,0.9656791250000001,0.9105,0.90475,0.91625,0.9099823987930602,65.04621030006092,122.98948644503133,79263.82402309272,1648.64501953125,capsnet
,capsnet,0.3,0,43200,3388736,3713715,8000,0.9709580624999999,0.9707488749999998,0.91425,0.90575,0.92275,0.9135148764498235,65.44601029998739,122.23816185784423,78689.2727832399,2029.1298828125,capsnet
,capsnet,0.3,1,43200,3388736,3713715,7600,0.9703988125000002,0.97053875,0.9165,0.90725,0.92575,0.915720413827908,65.62182729999768,121.9106557857203,79108.18703858326,2029.2548828125,capsnet
,capsnet,0.3,2,43200,3388736,3713715,7800,0.9712995,0.9722378750000001,0.921125,0.91225,0.93,0.9204187161054357,65.3185212000244,122.4767470699721,79110.29920640492,2029.2548828125,capsnet
,capsnet,1.0,0,144000,3388736,3713715,7600,0.9751900625000001,0.9749473750000001,0.920875,0.9035,0.93825,0.919475893652207,65.22683090006467,122.64891440543785,78781.047117961,4686.92529296875,capsnet
,capsnet,1.0,1,144000,3388736,3713715,8000,0.9756141875,0.9761059062499999,0.924125,0.92175,0.9265,0.9239443678736999,65.0882539000595,122.91004168407545,79280.16254878277,4686.42529296875,capsnet
,capsnet,1.0,2,144000,3388736,3713715,8000,0.9761702499999999,0.97552425,0.923875,0.9155,0.93225,0.9232320685743098,65.21404639993852,122.67295838289742,78866.42656404394,4686.80029296875,capsnet
no-recon,capsnet,0.01,0,1440,3388736,3388736,3600,0.8673319375,0.86727821875,0.790625,0.79475,0.7865,0.7914851238640608,66.96683080006915,119.46212631570046,69656.63920604186,1246.11474609375,capsnet-no-recon
no-recon,capsnet,0.01,1,1440,3388736,3388736,350,0.88933421875,0.8849411875,0.803125,0.71775,0.8885,0.7847478474784747,65.12176540003566,122.84679247954816,70126.37064032268,897.3544921875,capsnet-no-recon
no-recon,capsnet,0.01,2,1440,3388736,3388736,4400,0.8749928125,0.8727800625000002,0.797625,0.7835,0.81175,0.794725497654368,65.39650489999622,122.3306966057824,77422.15202621242,897.3544921875,capsnet-no-recon
no-recon,capsnet,0.1,0,14400,3388736,3388736,5200,0.9324774375,0.93053984375,0.862,0.8635,0.8605,0.8622066899650523,65.80983880000713,121.56237039740527,70563.10237697489,1241.390625,capsnet-no-recon
no-recon,capsnet,0.1,1,14400,3388736,3388736,4800,0.936339625,0.9386070312500002,0.872,0.861,0.883,0.8705763397371081,65.31886090002081,122.47611011228537,69620.9949059022,1239.640625,capsnet-no-recon
no-recon,capsnet,0.1,2,14400,3388736,3388736,4400,0.9387019375,0.9381743125000002,0.868875,0.84975,0.888,0.8663183382184274,65.54729649992078,122.04927475551443,70501.33203436148,1241.390625,capsnet-no-recon
no-recon,capsnet,1.0,0,144000,3388736,3388736,7600,0.9711099375,0.9710025624999999,0.914875,0.90125,0.9285,0.9136991509314409,64.29160319997754,124.43304571385761,70029.400678264,4659.28076171875,capsnet-no-recon
no-recon,capsnet,1.0,1,144000,3388736,3388736,8000,0.9749081874999999,0.9748925625,0.922,0.91725,0.92675,0.9216277317256971,65.63887839992822,121.87898689031756,70288.496205658,4659.28076171875,capsnet-no-recon
no-recon,capsnet,1.0,2,144000,3388736,3388736,8000,0.972907125,0.9723233125,0.917625,0.9085,0.92675,0.9168664059543333,64.44982590005384,124.12756571920107,70268.8427353392,4659.28076171875,capsnet-no-recon
no-routing,capsnet,0.01,0,1440,3388736,3713715,200,0.8795919999999999,0.8752157500000001,0.802,0.75575,0.84825,0.7923984272608126,64.88974840000446,123.28603819951704,88467.45613898168,1272.70556640625,capsnet-no-routing
no-routing,capsnet,0.01,1,1440,3388736,3713715,850,0.8808124374999999,0.8749133125,0.8025,0.785,0.82,0.7989821882951654,62.15076219996263,128.71925808827507,88169.9770242552,928.1240234375,capsnet-no-routing
no-routing,capsnet,0.01,2,1440,3388736,3713715,3200,0.8813975625,0.8776040624999999,0.799625,0.77025,0.829,0.7935608499678043,61.627887599985115,129.81136156939982,89172.15911686624,927.3740234375,capsnet-no-routing
no-routing,capsnet,0.1,0,14400,3388736,3713715,4400,0.9351871875000001,0.9358423437500001,0.867,0.86225,0.87175,0.8663652348656117,61.79561020003166,129.45903396866046,88486.89619621054,1269.66015625,capsnet-no-routing
no-routing,capsnet,0.1,1,14400,3388736,3713715,6000,0.9372216874999999,0.9386676875000001,0.875,0.864,0.886,0.8736097067745197,61.6252762000222,129.81686238668928,89080.74241374452,1269.66015625,capsnet-no-routing
no-routing,capsnet,0.1,2,14400,3388736,3713715,7800,0.9412666250000001,0.9401852500000001,0.87625,0.87075,0.88175,0.8755656108597285,61.68218180001713,129.69709836038547,89079.08923757025,1269.66015625,capsnet-no-routing
no-routing,capsnet,1.0,0,144000,3388736,3713715,7600,0.9755879062499999,0.9751328125000001,0.924625,0.909,0.94025,0.9234285714285714,64.91612479985633,123.23594522416262,75727.93477328391,4688.11279296875,capsnet-no-routing
no-routing,capsnet,1.0,1,144000,3388736,3713715,8000,0.97623115625,0.976019625,0.92425,0.91975,0.92875,0.9239075841285784,78.17255649997969,102.33770466496229,78823.29951183885,4687.23779296875,capsnet-no-routing
no-routing,capsnet,1.0,2,144000,3388736,3713715,8000,0.9760328125,0.9759332500000002,0.925375,0.91525,0.9355,0.9246116933956308,76.80841600004351,104.15525298680119,87184.87661793616,4687.36279296875,capsnet-no-routing
,matched_cnn,0.01,0,1440,3389057,3389057,50,0.87754965625,0.8776735312499999,0.726625,0.9405,0.51275,0.7747914735866542,51.32762729996466,155.86148085994827,93404.8762765501,1247.04833984375,matched_cnn
,matched_cnn,0.01,1,1440,3389057,3389057,100,0.86272359375,0.8612380625,0.755625,0.885,0.62625,0.7836192584394024,51.49898070002382,155.34288040765628,85218.25460348229,899.48046875,matched_cnn
,matched_cnn,0.01,2,1440,3389057,3389057,50,0.87394625,0.8764117187499999,0.794375,0.7025,0.88625,0.7735719201651755,52.38624239998171,152.71185016321752,96551.65755301318,899.48046875,matched_cnn
,matched_cnn,0.1,0,14400,3389057,3389057,8000,0.9607559999999999,0.9609879374999999,0.90025,0.90175,0.89875,0.9003994008986521,50.74396940004954,157.65420195906452,93984.07909726407,1241.5791015625,matched_cnn
,matched_cnn,0.1,1,14400,3389057,3389057,7400,0.9603330000000001,0.9599199375,0.90225,0.89825,0.90625,0.9018574297188755,50.74082090007141,157.66398450184988,95865.6730172976,1241.5791015625,matched_cnn
,matched_cnn,0.1,2,14400,3389057,3389057,7600,0.9626464374999999,0.9620799375,0.906375,0.91525,0.8975,0.9071986123156982,50.8396959000238,157.3573535084079,97470.79531273035,1241.5791015625,matched_cnn
,matched_cnn,0.2,0,28800,3389057,3389057,8000,0.978715625,0.9795100625000001,0.93025,0.924,0.9365,0.9298113207547168,45.01320489993668,177.72562557551313,98731.30276482279,1621.68896484375,matched_cnn
,matched_cnn,0.2,1,28800,3389057,3389057,7400,0.97820971875,0.97906059375,0.93175,0.9325,0.931,0.9318011491381464,44.101736100026756,181.3987545037971,98674.7974703057,1621.68896484375,matched_cnn
