name,fraction,n_train,params,params_with_decoder,seeds,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,test_f1_mean,test_f1_std,val_auc_mean,val_auc_std,train_time_s_mean,train_time_s_std,train_steps_per_s_mean,train_steps_per_s_std,inference_img_per_s_mean,inference_img_per_s_std,peak_gpu_mem_mb_mean,peak_gpu_mem_mb_std
capsnet,0.01,1440,3388736,3713715,3,0.8764484062500001,0.003626540269346925,0.7790416666666666,0.028153966564825862,0.6779999999999999,0.11806433627476157,0.8800833333333333,0.06836955340890655,0.7504867792460389,0.057092131751273374,0.8780796770833333,0.004895952403350345,82.59369773333795,1.8613285319773316,96.89276081042003,2.2012848457963163,71229.90080908375,2568.0576982031816,926.6865234375,0.0
capsnet,0.1,14400,3388736,3713715,3,0.93850225,0.0040055121809864465,0.8724583333333333,0.00559622268439468,0.8614999999999999,0.011540688887583804,0.8834166666666667,0.01436430761761014,0.8710456744074055,0.0054061284601701134,0.9392483125000001,0.002799024004703396,82.587518066682,3.054792425502825,96.95678531956787,3.643963273865005,71432.16589418867,2934.249481830943,1268.53515625,0.0
capsnet,0.2,28800,3388736,3713715,3,0.9662694166666667,0.0010945844893963958,0.9107500000000001,0.0023848480035423792,0.9011666666666667,0.006206515393788506,0.9203333333333333,0.0035910769044025324,0.9098808104816771,0.002677732923030187,0.9655207083333334,0.00026985332628740375,65.13234336669363,0.07982926178509554,122.8269643143504,0.15059163077277776,79303.68848405495,34.53351234752593,1648.8116861979167,0.2886751345948293
capsnet,0.3,43200,3388736,3713715,3,0.9711751666666667,0.000926309818693847,0.9172916666666667,0.00350520446384128,0.9084166666666667,0.003403429642776951,0.9261666666666667,0.003642915499065739,0.9165513354610558,0.0035261272761948712,0.9708854583333334,0.000454712015375651,65.46211960000316,0.15229340015410303,122.20852157117888,0.284207222764781,78969.25300940935,242.4722883086865,2029.2132161458333,0.07216878364871963
capsnet,1.0,144000,3388736,3713715,3,0.97552584375,0.0005792672693462246,0.9229583333333333,0.0018085445345175514,0.9135833333333333,0.00927474168553134,0.9323333333333333,0.005875443245690765,0.922217443366739,0.0024008152159038215,0.9756581666666667,0.0004915714689793549,65.17637706668756,0.07658413826170012,122.74397149080357,0.1443225901688261,78975.87874359591,266.9529696924282,4686.716959635417,0.26020824993323016
capsnet-no-recon,0.01,1440,3388736,3388736,3,0.8749998229166667,0.009038286258822416,0.797125,0.006264982043070814,0.7653333333333333,0.04159051374211831,0.8289166666666666,0.053122696028471056,0.7903194896656345,0.005089931538982747,0.87721965625,0.011168895194521683,65.828367033367,0.9954623344355438,121.54653846701035,1.8235046613940222,72401.72062419233,4354.160137372073,1013.60791015625,201.35682647541566
capsnet-no-recon,0.1,14400,3388736,3388736,3,0.9357737291666668,0.004537838559848565,0.867625,0.005115845482420281,0.8580833333333334,0.007324331596352869,0.8771666666666667,0.014648663192705781,0.866367122640196,0.00418503814398075,0.9358396666666667,0.0031422235461217693,65.5586653999829,0.24568631114738765,122.02925175506836,0.4571988156671376,70228.47643907952,527.000240673799,1240.8072916666667,1.0103629710818287
capsnet-no-recon,1.0,144000,3388736,3388736,3,0.9727394791666667,0.001978110467297895,0.9181666666666667,0.003593251777058421,0.9089999999999999,0.008011710179481041,0.9273333333333333,0.0010103629710818138,0.9173977628704905,0.003990908854136235,0.9729750833333334,0.0019000367146260562,64.79343583331986,0.7364363216055027,123.47986610779208,1.3947903815592526,70195.57987308707,144.25050543386575,4659.28076171875,0.0
capsnet-no-routing,0.01,1440,3388736,3713715,3,0.8759110416666666,0.0014739765150526699,0.8013750000000001,0.0015360257159305682,0.7703333333333333,0.014625178061594099,0.8324166666666666,0.014431591503827093,0.7949804885079274,0.0035139731825695616,0.8806006666666666,0.0009212215530151637,62.88946606665073,1.7519122471375916,127.27221928573063,3.495053968458357,88603.19742670104,514.6955503803628,1042.7345377604167,199.16110598537313
capsnet-no-routing,0.1,14400,3388736,3713715,3,0.9382317604166667,0.0022040265403483017,0.8727499999999999,0.0050187149749711685,0.8656666666666667,0.00448841100316516,0.8798333333333334,0.007315793417896161,0.8718468508332866,0.004846903693125724,0.9378918333333334,0.0030946262549057936,61.701022733357,0.08671593548272274,129.65766490524507,0.18214428957692758,88882.24261584178,342.3810404860235,1269.66015625,0.0
